source,target,relationship_type,method,confidence,evidence
105/2016/TT-BTC,135/2015/NĐ-CP,THAM_CHIEU,rule,0.85,135/2015/NĐ-CP
41/2016/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.85,46/2010/QH12
66/2020/TT-BTC,05/2019/NĐ-CP,THAM_CHIEU,rule,0.95,Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ;
08/2021/TT-BTC,05/2019/NĐ-CP,THAM_CHIEU,rule,0.95,Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ;
46/2023/NĐ-CP,73/2016/NĐ-CP,THAM_CHIEU,rule,0.85,"a) Đối với các doanh nghiệp bảo hiểm, doanh nghiệp tái bảo hiểm đã được cấp phép trước ngày 01 tháng 01 năm 2023: Trước ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn pháp định quy định tại Điều 10 Nghị định số 73/2016/NĐ-CP; từ ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn điều lệ tối thiểu theo quy định tại Điều 35 Nghị định này;"
46/2023/NĐ-CP,73/2016/NĐ-CP,SUA_DOI_BO_SUNG,rule,0.95,"a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, trừ các Điều 10, 61, 62, 63, 64, 65, 66, 67. Các Điều 10, 61, 62, 63, 64, 65, 66, 67 của Nghị định số 73/2016/NĐ-CP có hiệu lực đến hết ngày 31 tháng 12 năm 2027;"
22/2023/TT-NHNN,41/2016/TT-NHNN,THAM_CHIEU,rule,0.85,41/2016/TT-NHNN
43/2024/TT-NHNN,01/2014/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.95,"Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10"
01/2014/TT-NHNN,43/2024/TT-NHNN,THAY_THE_BOI,rule,0.95,"Điều 2. Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN"
63/2025/TT-NHNN,01/2025/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.95,"Bổ sung cụm từ “Mã định danh tổ chức (nếu có)” sau cụm từ “Tên viết tắt bằng tiếng Anh (nếu có)” tại phần “Tên quỹ tín dụng nhân dân” tại Phụ lục số 01, 02, 03, 07, 08 ban hành kèm theo Thông tư số 01/2025/TT-NHNN."
63/2025/TT-NHNN,17/2023/QH15,THAM_CHIEU,rule,0.95,Căn cứ Luật Hợp tác xã số 17/2023/QH15;
63/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
63/2025/TT-NHNN,29/2024/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.95,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN"
63/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
69/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
69/2025/TT-NHNN,62/2024/TT-NHNN,THAM_CHIEU,rule,0.85,SỐ 62/2024/TT-NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT
69/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
62/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
62/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
44/2011/TT-NHNN,62/2025/TT-NHNN,THAY_THE_BOI,rule,0.95,"2. Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
44/2011/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
202/2012/TT-BTC,67/2011/QH12,THAM_CHIEU,rule,0.85,67/2011/QH12
37/2014/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.85,46/2010/QH12
01/2014/TT-NHNN,46/2010/QH12,THAM_CHIEU,rule,0.85,Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
52/VBHN-NHNN,56/2024/TT-NHNN,THAM_CHIEU,rule,0.85,(Ban hành kèm theo Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định
52/VBHN-NHNN,56/2024/TT-NHNN,SUA_DOI_BO_SUNG,rule,0.95,"Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài, có hiệu lực kể từ ngày 24 tháng 12 năm 2024 được sửa đổi, bổ sung bởi:"
17/VBHN-BTC,156/2020/NĐ-CP,SUA_DOI_BO_SUNG,rule,0.95,"Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi:"
32/2024/QH15,Quốc hội,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
32/2024/QH15,Vương Đình Huệ,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Vương Đình Huệ
32/2024/QH15,Tín dụng,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Tín dụng
32/2024/QH15,Tổ chức tín dụng,AP_DUNG_CHO,gemini,0.98,1. Tổ chức tín dụng.
32/2024/QH15,Chi nhánh ngân hàng nước ngoài,AP_DUNG_CHO,gemini,0.98,2. Chi nhánh ngân hàng nước ngoài.
32/2024/QH15,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",AP_DUNG_CHO,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
32/2024/QH15,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",AP_DUNG_CHO,gemini,0.95,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
32/2024/QH15,"Cơ quan, tổ chức, cá nhân có liên quan",AP_DUNG_CHO,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
73/2016/NĐ-CP,Chính phủ,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
73/2016/NĐ-CP,Nguyễn Xuân Phúc,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
73/2016/NĐ-CP,Bảo hiểm,THUOC_LINH_VUC,gemini,0.95,"QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT KINH DOANH BẢO HIỂM"
73/2016/NĐ-CP,Doanh nghiệp bảo hiểm,AP_DUNG_CHO,gemini,0.95,a) Doanh nghiệp bảo hiểm;
73/2016/NĐ-CP,Chi nhánh nước ngoài,AP_DUNG_CHO,gemini,0.95,b) Chi nhánh nước ngoài;
73/2016/NĐ-CP,Doanh nghiệp môi giới bảo hiểm,AP_DUNG_CHO,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
73/2016/NĐ-CP,Đại lý bảo hiểm,AP_DUNG_CHO,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
73/2016/NĐ-CP,"Các tổ chức, cá nhân khác có liên quan",AP_DUNG_CHO,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
37/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
37/2014/TT-NHNN,Đào Minh Tú,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
37/2014/TT-NHNN,Phát hành và kho quỹ,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Phát hành và kho quỹ
37/2014/TT-NHNN,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,AP_DUNG_CHO,gemini,0.95,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
37/2014/TT-NHNN,Nhà máy in tiền Quốc gia,AP_DUNG_CHO,gemini,0.95,2. Nhà máy in tiền Quốc gia.
37/2014/TT-NHNN,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",AP_DUNG_CHO,gemini,0.92,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
67/2011/QH12,Quốc hội,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
67/2011/QH12,Nguyễn Phú Trọng,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Phú Trọng
67/2011/QH12,Kiểm toán,THUOC_LINH_VUC,gemini,0.95,"Luật này quy định nguyên tắc, điều kiện, phạm vi, hình thức hoạt động kiểm toán độc lập;"
